,_id,count_with_activity
1362,Bohemia,64
1363,Cranford,64
1364,Needham,64
1365,Galt,64
1366,Owasso,63
1367,Boulder City,63
1368,Crowley,63
1369,Plymouth Meeting,63
1370,Willowbrook,63
1371,Hatboro,63
1372,Marble Falls,63
1373,Hazelwood,63
1374,Malibu,63
1375,Allison Park,63
1376,Lithia,63
1377,Hazlet,63
1378,San Ysidro,63
1379,Aberdeen,63
1380,Bushnell,63
1381,Bell,63
1382,Napa,63
1383,Imperial Beach,63
1384,Golden Valley,62
1385,Wyomissing,62
1386,Amityville,62
1387,Walled Lake,62
1388,Berlin,62
1389,Silverton,62
1390,Springfield Township,62
1391,Melrose,62
1392,Half Moon Bay,62
1393,Florida City,62
1394,West Roxbury,61
1395,Deerfield,61
1396,Gun Barrel City,61
1397,Pryor,61
1398,Yorktown Heights,61
1399,Hazel Park,61
1400,Manor,61
1401,Lincolnwood,61
1402,Mahwah,61
1403,Kenmore,61
1404,Montrose,61
1405,Bethel,61
1406,Broomall,61
1407,Copiague,61
1408,North Plainfield,61
1409,Maitland,61
1410,Santa Fe,61
1411,South Lyon,61
1412,Blue Bell,61
1413,Webster Groves,61
1414,Clark,61
1415,Drexel Hill,60
1416,Chicago Ridge,60
1417,South Orange,60
1418,Ozone Park,60
1419,Waterford,60
1420,Liberty Township,60
1421,Millville,60
1422,Lawrence,60
1423,Takoma Park,60
1424,St John,60
1425,Key Largo,60
1426,Manhasset,60
1427,East Hampton,60
1428,Woodbridge Township,60
1429,Mystic,60
1430,McMurray,60
1431,Wauchula,60
1432,Cinnaminson,60
1433,Linthicum Heights,60
1434,Cooper City,60
1435,Belle Glade,60
1436,Coronado,60
1437,West Hills,60
1438,Claymont,59
1439,Millbrae,59
1440,Kensington,59
1441,Bloomfield Twp,59
1442,Flat Rock,59
1443,Carle Place,59
1444,Cedar City,59
1445,West Linn,59
1446,Souderton,59
1447,Far Rockaway,59
1448,Palos Heights,59
1449,Liberty Hill,59
1450,Seabrook,59
1451,Show Low,59
1452,Saddle Brook,59
1453,Connellsville,58
1454,Wilmette,58
1455,Winnetka,58
1456,Green Brook Township,58
1457,Bandera,58
1458,Gonzales,58
1459,Halethorpe,58
1460,Brenham,58
1461,Prior Lake,58
1462,Tyler,58
1463,Springtown,58
1464,Delran,58
1465,Burke,58
1466,Seagoville,58
1467,Pleasantville,58
1468,District Heights,58
1469,Cameron Park,58
1470,Grand Junction,57
1471,Overland Park,57
1472,Waterloo,57
1473,La Marque,57
1474,North Lauderdale,57
1475,Aloha,57
1476,Bainbridge Island,57
1477,Pacifica,57
1478,Des Peres,57
1479,Big Bear Lake,57
1480,DeBary,57
1481,Harbor City,57
1482,Egg Harbor Township,57
1483,Morris Plains,57
1484,Nyack,57
1485,Saline,56
1486,Parsons,56
1487,Huntingdon Valley,56
1488,Anthem,56
1489,Santa Maria,56
1490,Molalla,56
1491,Lauderdale Lakes,56
1492,Trinity,56
1493,Ossining,56
1494,Wood River,56
1495,Dolton,56
1496,Canyon Country,56
1497,Temple Hills,56
1498,Marana,56
1499,Cold Spring,56
1500,Charlottesville,56
1501,Metairie,55
1502,Arleta,55
1503,Calabasas,55
1504,Pennsville,55
1505,Imperial,55
1506,Fallston,55
1507,Hockessin,55
1508,Westchester,55
1509,Rutherford,55
1510,Stoughton,55
1511,Oak Forest,55
1512,Fresh Meadows,55
1513,Mira Loma,55
1514,Lighthouse Point,55
1515,Waller,55
1516,Queens Village,54
1517,Swedesboro,54
1518,Litchfield Park,54
1519,Amherst,54
1520,Eastvale,54
1521,Abington,54
1522,Fort Lupton,54
1523,Maineville,54
1524,Wood Dale,54
1525,Joshua,54
1526,Chestertown,54
1527,Cibolo,54
1528,Framingham,54
1529,San Luis Obispo,54
1530,Yardley,54
1531,St Ann,54
1532,Ellenwood,54
1533,Chestnut Hill,54
1534,Warrenville,54
1535,Cliffside Park,53
1536,Babylon,53
1537,Tujunga,53
1538,Brownstown Charter Twp,53
1539,Willingboro,53
1540,Columbia Heights,53
1541,Mill Valley,53
1542,Collingswood,53
1543,Clewiston,53
1544,East Boston,53
1545,Rosemont,53
1546,Rego Park,53
1547,Mulberry,53
1548,Peabody,53
1549,Kerrville,53
1550,Troutdale,52
1551,Clementon,52
1552,North Babylon,52
1553,Griffin,52
1554,Hamden,52
1555,Boonton,52
1556,Middlesex,52
1557,West Islip,52
1558,Carnegie,52
1559,Bound Brook,52
1560,Overland,52
1561,Sugar Hill,52
1562,Hartsdale,52
1563,Hialeah Gardens,52
1564,Leonardtown,52
1565,Sachse,52
1566,Charlotte Hall,52
1567,Medley,52
1568,Sayville,51
1569,Superior,51
1570,Durham,51
1571,Avon Park,51
1572,Alpine,51
1573,Palm City,51
1574,Crofton,51
1575,Scappoose,51
1576,Orangevale,51
1577,Coffeyville,51
1578,Boyertown,51
1579,Coolidge,51
1580,Pantego,51
1581,Larchmont,51
1582,Brookfield,51
1583,Ormond Beach,51
1584,Mountlake Terrace,51
1585,Groveland,51
1586,China Grove,51
1587,East Los Angeles,51
1588,SeaTac,51
1589,Harleysville,51
1590,Suffern,50
1591,Elmsford,50
1592,Lansdowne,50
1593,Windermere,50
1594,Grosse Pointe Woods,50
1595,Hawaiian Gardens,50
1596,Mt Airy,50
1597,Brandywine,50
1598,Sunnyside,49
1599,Knoxville,49
1600,Locust,49
1601,Fort Meade,49
1602,Belfair,49
1603,Sausalito,49
1604,West Columbia,49
1605,Potomac,49
1606,Whitestone,49
1607,Castroville,49
1608,Lawrence Township,49
1609,Luling,49
1610,Murrysville,49
1611,North Arlington,49
1612,Sharonville,49
1613,Highlands,49
1614,South St Paul,49
1615,Sheridan,49
1616,Hampton Bays,49
1617,Sunny Isles Beach,49
1618,Forestville,49
1619,Chalfont,49
1620,Watchung,49
1621,Ellenton,49
1622,Jeannette,49
1623,Douglassville,48
1624,West Berlin,48
1625,Madeira Beach,48
1626,North Haven,48
1627,Sedona,48
1628,El Mirage,48
1629,Natrona Heights,48
1630,Pinecrest,48
1631,White Lake,48
1632,Sewickley,48
1633,Riverdale Park,48
1634,Bonita Springs,48
1635,Paoli,48
1636,Floral Park,48
1637,Burnet,48
1638,Keyport,48
1639,Safety Harbor,48
1640,Monsey,48
1641,Whiting,48
1642,Sonoma,48
1643,Avenel,47
1644,Altadena,47
1645,Grayson,47
1646,Kenilworth,47
1647,Charleston,47
1648,Mercer Island,47
1649,Mattapan,47
1650,Davidson,47
1651,Closter,47
1652,Kingston,47
1653,Palm Beach,47
1654,North Port,47
1655,Tarentum,47
1656,Ambridge,47
1657,Winnie,47
1658,Hampstead,47
1659,Tarrytown,47
1660,Tequesta,47
1661,Damascus,47
1662,Sun City West,47
1663,Northlake,47
1664,Caldwell,47
1665,Hinsdale,47
1666,Lake in the Hills,47
1667,Winchester,47
1668,Foothill Ranch,47
1669,Little Falls,47
1670,Avon,47
1671,Palos Hills,46
1672,Milwaukee,46
1673,Harker Heights,46
1674,Harrison Charter Township,46
1675,Coram,46
1676,East Rutherford,46
1677,Hackettstown,46
1678,North East,46
1679,Beaver,46
1680,Navasota,46
1681,Haslet,46
1682,Breckenridge,46
1683,Hapeville,46
1684,Millersville,46
1685,Sebastopol,45
1686,Lambertville,45
1687,Penn Hills,45
1688,High Ridge,45
1689,Perkasie,45
1690,Valley Village,45
1691,Crystal,45
1692,Devine,45
1693,Gulfport,45
1694,Lytle,45
1695,Farmingville,45
1696,Lubbock,45
1697,Aubrey,45
1698,Melville,45
1699,Oakbrook Terrace,45
1700,Sussex,45
1701,Glen Rose,44
1702,Justin,44
1703,Abingdon,44
1704,Tracy,44
1705,Cedar Lake,44
1706,Fargo,44
1707,Acton,44
1708,Bala Cynwyd,44
1709,Cranston,44
1710,Lake Grove,44
1711,Swampscott,44
1712,Minooka,44
1713,Channahon,44
1714,Chanute,44
1715,Haddonfield,44
1716,Port Jefferson,44
1717,Schiller Park,44
1718,Key West,44
1719,East Islip,44
1720,Fillmore,43
1721,Walpole,43
1722,La Palma,43
1723,Lyons,43
1724,Wilton,43
1725,Hatfield,43
1726,Dixon,43
1727,Punta Gorda,43
1728,Hondo,43
1729,Wyckoff,43
1730,Gladstone,43
1731,Basking Ridge,43
1732,Lake Wylie,43
1733,Haddon Township,43
1734,Brookshire,43
1735,Villa Rica,43
1736,Rocky Point,43
1737,Sammamish,43
1738,Williston Park,43
1739,University City,43
1740,Circle Pines,43
1741,North Versailles,42
1742,Stevensville,42
1743,East Dundee,42
1744,Destin,42
1745,Clifton Heights,42
1746,Roslyn,42
1747,Millburn,42
1748,Live Oak,42
1749,Eloy,42
1750,Glen Carbon,42
1751,Stony Brook,42
1752,Snoqualmie,42
1753,Sykesville,42
1754,Conifer,42
1755,Dunkirk,42
1756,Danvers,42
1757,Hobe Sound,42
1758,Swansea,42
1759,Island Park,42
1760,La Vernia,41
1761,Carteret,41
1762,Indian Harbour Beach,41
1763,Gibsonton,41
1764,Pearl River,41
1765,Chatham,41
1766,Chattanooga,41
1767,Windsor Mill,41
1768,Brazoria,41
1769,Orange Park,41
1770,Flemington,41
1771,South Amboy,41
1772,Seaford,41
1773,Clearwater Beach,41
1774,Washougal,41
1775,Audubon,41
1776,Cottonwood,41
1777,Estacada,41
1778,Poughkeepsie,41
1779,Cape Coral,41
1780,Tenafly,41
1781,Manvel,41
1782,Corona Del Mar,40
1783,Kings Mountain,40
1784,Lexington Park,40
1785,Dale City,40
1786,Cahokia,40
1787,Miami Springs,40
1788,Colonia,40
1789,North Riverside,40
1790,Mundelein,40
1791,Port Jervis,40
1792,Burtonsville,40
1793,Oakley,40
1794,Hendersonville,40
1795,Roxbury,40
1796,Corte Madera,40
1797,North Bethesda,40
1798,Wimberley,40
1799,Bacliff,40
1800,Berkeley Heights,40
1801,Dumont,39
1802,Winthrop,39
1803,Rye,39
1804,Itasca,39
1805,Waynesburg,39
1806,Federal Heights,39
1807,North Huntingdon,39
1808,Raritan,39
1809,Kennedale,39
1810,New Holland,39
1811,Lowell,39
1812,Antelope,39
1813,Carlstadt,39
1814,Bronxville,39
1815,Severn,39
1816,New Providence,39
1817,Roselle Park,39
1818,Tyrone,39
1819,Mabank,39
1820,Shrewsbury,38
1821,Bellwood,38
1822,Inkster,38
1823,Poinciana,38
1824,Lake Charles,38
1825,East Norriton,38
1826,Shoreview,38
1827,Manteca,38
1828,Hobart,38
1829,Sun City Center,38
1830,Goshen,38
1831,Prescott Valley,38
1832,Palmetto Bay,38
1833,Marine City,38
1834,Massapequa Park,38
1835,Hugo,38
1836,Del Valle,38
1837,Newcastle,38
1838,Rio Linda,38
1839,Northport,38
1840,Dulles,38
1841,Pennington,38
1842,Ham Lake,38
1843,Egg Harbor City,38
1844,Corinth,38
1845,Ashland,38
1846,West Hartford,38
1847,Key Biscayne,37
1848,Jericho,37
1849,New Hudson,37
1850,Richboro,37
1851,Melvindale,37
1852,Windsor,37
1853,Glenolden,37
1854,Burlington Township,37
1855,Montgomeryville,37
1856,Holmdel,37
1857,Norwich,37
1858,Crete,37
1859,White Settlement,37
1860,Bordentown,37
1861,Pigeon Forge,37
1862,Duvall,37
1863,Phelan,37
1864,Highland Charter Twp,37
1865,Chadds Ford,37
1866,Akron,37
1867,Pitman,37
1868,Stanley,37
1869,Spokane Valley,37
1870,Farmersville,37
1871,Worth,37
1872,West Nyack,37
1873,West Park,37
1874,Jurupa Valley,37
1875,New Canaan,37
1876,Landover,36
1877,Flanders,36
1878,Miller Place,36
1879,Fernandina Beach,36
1880,St James,36
1881,Rancho Palos Verdes,36
1882,Succasunna,36
1883,Moon Twp,36
1884,Lincolnshire,36
1885,Celebration,36
1886,Vashon,36
1887,Osseo,36
1888,Lake Ronkonkoma,36
1889,Chevy Chase,36
1890,Hickory Hills,36
1891,Spanaway,36
1892,Holly,36
1893,Hasbrouck Heights,36
1894,Ledgewood,36
1895,Howard Beach,36
1896,Scotch Plains,36
1897,West Dundee,36
1898,Sayreville,36
1899,Johnstown,36
1900,Joppa,36
1901,Treasure Island,36
1902,Waldwick,36
1903,Manassas Park,36
1904,Florham Park,36
1905,Milan,36
1906,Leechburg,36
1907,Center Line,36
1908,Hillcrest Heights,35
1909,Northampton,35
1910,Westbrook,35
1911,Irwindale,35
1912,Sierra Vista,35
1913,Bellmawr,35
1914,Hood River,35
1915,Nederland,35
1916,Graham,35
1917,Libertyville,35
1918,Saratoga,35
1919,Old Bridge Township,35
1920,Depew,35
1921,Charlestown,35
1922,Seaside,35
1923,West Deptford,35
1924,Beverly,35
1925,Loomis,35
1926,Cedarhurst,35
1927,Hewlett,35
1928,Mont Belvieu,35
1929,Hamburg,35
1930,Victoria,35
1931,Westlake,35
1932,Westhampton Beach,35
1933,Dorchester Center,35
1934,Sag Harbor,35
1935,Lino Lakes,35
1936,Lindenwold,34
1937,Parsippany,34
1938,Bethlehem,34
1939,Bonita,34
1940,Solomons,34
1941,White Oak,34
1942,Boone,34
1943,West Grove,34
1944,Orion Charter Township,34
1945,Crescent Springs,34
1946,Lake Hopatcong,34
1947,Chesterfield Township,34
1948,Branchburg,34
1949,West Reading,34
1950,Salado,34
1951,Highwood,34
1952,Savannah,34
1953,Palm Desert,34
1954,Biddeford,34
1955,Robbinsdale,34
1956,Arden Hills,34
1957,Ephrata,34
1958,Camp Springs,34
1959,Grandview,34
1960,Medina,34
1961,Orangeburg,34
1962,Little Ferry,34
1963,Kings Park,34
1964,East Lyme,34
1965,Garwood,34
1966,South Richmond Hill,34
1967,Sharpsburg,33
1968,Belleview,33
1969,White Lake Charter Township,33
1970,Colfax,33
1971,Manville,33
1972,Kendall,33
1973,Center Moriches,33
1974,East Patchogue,33
1975,Richland Hills,33
1976,Monee,33
1977,Inwood,33
1978,Pleasant Hills,33
1979,Fulshear,33
1980,Haverstraw,33
1981,Fort Wright,33
1982,Mullica Hill,33
1983,Pacific Palisades,33
1984,Wyncote,33
1985,Calumet Park,33
1986,Islip,33
1987,Harwood Heights,33
1988,Burr Ridge,33
1989,Midland,33
1990,Country Club Hills,33
1991,Cheektowaga,33
1992,Thorndale,33
1993,Bedford Hills,33
1994,Tallahassee,33
1995,Pompton Lakes,32
1996,Umatilla,32
1997,Broadview,32
1998,San Angelo,32
1999,Maryville,32
2000,Eatontown,32
2001,Valley Park,32
2002,Monticello,32
2003,Milltown,32
2004,Mahopac,32
2005,North Conway,32
2006,Aledo,32
2007,Elkins Park,32
2008,Hartford,32
2009,Grand Blanc,32
2010,Fruitland Park,32
2011,Huntsville,32
2012,Knightdale,32
2013,Cohasset,32
2014,Mastic,32
2015,Penns Grove,32
2016,Shingle Springs,32
2017,Parkland,32
2018,Spring Lake Park,32
2019,Banning,32
2020,Boothwyn,32
2021,Richmond Heights,32
2022,Rio Vista,32
2023,Rolling Hills Estates,32
2024,Dobbs Ferry,32
2025,Lakewood Ranch,32
2026,Santa Paula,32
2027,Clarkston,32
2028,Scottdale,32
2029,Bladensburg,32
2030,Ferris,32
2031,Rockwell,31
2032,Prospect Park,31
2033,Pennsburg,31
2034,Lake Dallas,31
2035,Bordentown Township,31
2036,Maspeth,31
2037,Bellport,31
2038,Gilbertsville,31
2039,Hainesport,31
2040,Grosse Pointe,31
2041,Albertville,31
2042,Bernardsville,31
2043,Greenvale,31
2044,Mars,31
2045,Apollo Beach,31
2046,Wimauma,31
2047,Cedar Creek,31
2048,Ferguson,31
2049,Niantic,31
2050,Short Hills,31
2051,South River,31
2052,Foxborough,31
2053,West Milford,31
2054,Adrian,31
2055,Iola,31
2056,Parkesburg,31
2057,Rising Sun,31
2058,West Newton,31
2059,Idaho Springs,30
2060,Oyster Bay,30
2061,Mt Sinai,30
2062,Colma,30
2063,Wyoming,30
2064,High Point,30
2065,Triadelphia,30
2066,Lower Burrell,30
2067,Pinehurst,30
2068,Valley Center,30
2069,Sunset Valley,30
2070,Stevenson Ranch,30
2071,Bryan,30
2072,Spring City,30
2073,Monongahela,30
2074,Vernon Township,30
2075,Kittanning,30
2076,Algonac,30
2077,Congers,30
2078,Northvale,30
2079,Maumee,30
2080,Whippany,30
2081,Monmouth Junction,30
2082,Nesconset,30
2083,Charleroi,30
2084,Birdsboro,30
2085,Oaklyn,30
2086,Port Angeles,30
2087,Flourtown,29
2088,Old Bridge,29
2089,Rosharon,29
2090,Summerfield,29
2091,Visalia,29
2092,White Marsh,29
2093,Surfside,29
2094,Pearsall,29
2095,Newburgh,29
2096,Cortlandt,29
2097,Lecanto,29
2098,Chester Springs,29
2099,Niagara Falls,29
2100,Armonk,29
2101,Cape Canaveral,29
2102,Clarksburg,29
2103,Fort Mitchell,29
2104,Montvale,29
2105,Highland Heights,29
2106,Mohegan Lake,29
2107,Excelsior,29
2108,Brick Township,29
2109,New Milford,29
2110,Valley Springs,29
2111,Larkspur,29
2112,Glenshaw,29
2113,New Carrollton,29
2114,Eugene,29
2115,Carleton,29
2116,River Edge,29
2117,Meridian,29
2118,Medfield,29
2119,Atlantic City,29
2120,Quinlan,29
2121,Delmont,29
2122,Granite Bay,29
2123,Tuckahoe,29
2124,Fulton,29
2125,Runnemede,29
2126,Kutztown,29
2127,Brewster,29
2128,Manorville,29
2129,West Caldwell,29
2130,Little Canada,29
2131,Fords,29
2132,Waukegan,29
2133,Great Falls,29
2134,Hitchcock,29
2135,Walton,29
2136,Gwynn Oak,29
2137,Middle Island,28
2138,South Boston,28
2139,Keene,28
2140,Billerica,28
2141,Loxahatchee,28
2142,Leon Valley,28
2143,Gloucester City,28
2144,Telford,28
2145,Smithville,28
2146,Brownsville,28
2147,Fort Wayne,28
2148,Westampton,28
2149,Cathedral City,28
2150,Glen Rock,28
2151,Quantico,28
2152,Granite Falls,28
2153,Richton Park,28
2154,Bulverde,28
2155,Wallington,28
2156,Wynnewood,28
2157,Cross Roads,28
2158,Indian Rocks Beach,28
2159,Vadnais Heights,28
2160,University Park,28
2161,Ladera Ranch,28
2162,Satellite Beach,28
2163,Chisago City,28
2164,North Bellmore,28
2165,Croydon,28
2166,St Croix Falls,28
2167,Mattituck,28
2168,Roslyn Heights,28
2169,Needville,28
2170,Hazel Crest,28
2171,Freeland,28
2172,Bayport,27
2173,Belleair Bluffs,27
2174,Cudahy,27
2175,Thonotosassa,27
2176,St Anthony,27
2177,Castaic,27
2178,Westville,27
2179,West Long Branch,27
2180,Calimesa,27
2181,Willow Park,27
2182,Cheyenne,27
2183,River Oaks,27
2184,College Point,27
2185,Apollo,27
2186,Montville,27
2187,Langley,27
2188,Tysons,27
2189,Buckley,27
2190,Adelphi,27
2191,Splendora,27
2192,San Anselmo,27
2193,Affton,27
2194,East Elmhurst,27
2195,Blacksburg,27
2196,Midland Park,27
2197,Harper Woods,27
2198,Maiden,27
2199,Eagleville,27
2200,Richmond Hill,27
2201,Kildeer,27
2202,Minneola,27
2203,North Olmsted,27
2204,Sappington,26
2205,Conover,26
2206,Elverson,26
2207,Crestview Hills,26
2208,Fleetwood,26
2209,Estero,26
2210,Mounds View,26
2211,Portage,26
2212,Dunellen,26
2213,San Lorenzo,26
2214,Bedminster,26
2215,Fern Park,26
2216,Windcrest,26
2217,Wading River,26
2218,Valparaiso,26
2219,Jarrell,26
2220,Orange Beach,26
2221,Diamond Springs,26
2222,Atascocita,26
2223,Collingdale,26
2224,Sierra Madre,26
2225,Flowery Branch,26
2226,River Falls,26
2227,Atlantic Highlands,26
2228,Cedar Knolls,26
2229,Folcroft,26
2230,Jersey Village,26
2231,Pageland,26
2232,Festus,26
2233,Greenport,26
2234,Matamoras,26
2235,Havre De Grace,26
2236,DuPont,26
2237,Lake Station,26
2238,Shiloh,26
2239,Fox River Grove,26
2240,Lake Alfred,26
2241,Julian,26
2242,Finksburg,26
2243,Hillsdale,26
2244,Ellisville,26
2245,Hermitage,26
2246,River Forest,26
2247,Cedar Grove,26
2248,New Prague,26
2249,Sultan,25
2250,Gold River,25
2251,Haledon,25
2252,Bridgehampton,25
2253,Indiantown,25
2254,Wrightstown,25
2255,Howell,25
2256,Monterey,25
2257,Olivette,25
2258,Naranja,25
2259,Budd Lake,25
2260,Rockwood,25
2261,Thornwood,25
2262,Huffman,25
2263,Central Valley,25
2264,Gulf Shores,25
2265,Johnson City,25
2266,Southold,25
2267,Shawnee,25
2268,Derby,25
2269,Hull,25
2270,Garden City Park,25
2271,Gold Canyon,25
2272,Roosevelt,25
2273,Somerdale,25
2274,Flint,25
2275,Panama City Beach,25
2276,Briarcliff Manor,25
2277,Gap,25
2278,Pompton Plains,25
2279,East Alton,25
2280,Parlin,25
2281,Floral City,25
2282,River Grove,25
2283,Jacksonville Beach,25
2284,Godfrey,25
2285,Lindstrom,25
2286,Oak Park Heights,25
2287,Vernon,25
2288,Sweeny,25
2289,Jordan,25
2290,Steger,25
2291,Bellville,24
2292,Conway,24
2293,Vandergrift,24
2294,Evans,24
2295,Stanhope,24
2296,Emerson,24
2297,Las Cruces,24
2298,Holmes,24
2299,Baton Rouge,24
2300,Guttenberg,24
2301,West Lake Hills,24
2302,Miami Shores,24
2303,Islandia,24
2304,Galloway,24
2305,Baden,24
2306,Hunt Valley,24
2307,Hutchins,24
2308,Youngtown,24
2309,Long Lake,24
2310,Hudson Oaks,24
2311,Playa Del Rey,24
2312,Stone Park,24
2313,Schwenksville,24
2314,Stanwood,24
2315,West Haverstraw,24
2316,Browns Mills,24
2317,Pine,24
2318,Bethalto,24
2319,Weeki Wachee,24
2320,Boyd,24
2321,Spokane,24
2322,Justice,24
2323,Wenatchee,24
2324,Holland,23
2325,Kenneth City,23
2326,Seven Points,23
2327,Mims,23
2328,Oak Ridge,23
2329,Cresskill,23
2330,Albertson,23
2331,Wood Village,23
2332,Stony Point,23
2333,Brockton,23
2334,Port St John,23
2335,Olympia Fields,23
2336,Williamsville,23
2337,Southington,23
2338,Morgan Hill,23
2339,Pine Brook,23
2340,Nevada City,23
2341,Osceola,23
2342,Lago Vista,23
2343,East Hartford,23
2344,South Ozone Park,23
2345,Prospect Heights,23
2346,Oakmont,23
2347,Southampton Township,23
2348,Winfield,23
2349,Landover Hills,23
2350,Paulsboro,23
2351,Yuma,23
2352,Jennings,23
2353,Worcester,23
2354,Garnerville,23
2355,Fort Belvoir,22
2356,Wyandanch,22
2357,Latrobe,22
2358,Indialantic,22
2359,Merchantville,22
2360,Dacono,22
2361,Southport,22
2362,Belle Plaine,22
2363,Hodgkins,22
2364,Woodbury Heights,22
2365,Colmar,22
2366,Lusby,22
2367,Sarver,22
2368,Nampa,22
2369,Sun Lakes,22
2370,Lake City,22
2371,Jamison,22
2372,McDonald,22
2373,Avalon,22
2374,Mt Orab,22
2375,Dewey,22
2376,Cleves,22
2377,Warner Robins,22
2378,Vinita,22
2379,Von Ormy,22
2380,Hershey,22
2381,Orinda,22
2382,Sellersville,22
2383,Jourdanton,22
2384,Marshville,22
2385,Morrison,22
2386,Cheswick,22
2387,Southwest Ranches,22
2388,North Massapequa,22
2389,Olivehurst,22
2390,Copperas Cove,21
2391,Omaha,21
2392,Vauxhall,21
2393,Argyle,21
2394,Spotswood,21
2395,Gila Bend,21
2396,Welches,21
2397,Flossmoor,21
2398,New Britain,21
2399,Crandall,21
2400,Strasburg,21
2401,Sharon Hill,21
2402,Grove,21
2403,Little Neck,21
2404,Foster City,21
2405,Devon,21
2406,Garner,21
2407,Kenedy,21
2408,Norfolk,21
2409,Bentleyville,21
2410,Poteet,21
2411,Crestline,21
2412,Port Arthur,21
2413,Berthoud,21
2414,East Rockaway,21
2415,Sorrento,21
2416,Ardsley,21
2417,Meredith,21
2418,Sleepy Hollow,21
2419,Ansonia,21
2420,Whitehall,21
2421,Long Grove,21
2422,Trevose,21
2423,Ridley Park,21
2424,Chillum,21
2425,Keansburg,21
2426,Stevenson,21
2427,Honey Brook,21
2428,Kew Gardens,21
2429,Nowata,21
2430,Pelham,21
2431,Lenexa,21
2432,Littlerock,21
2433,Port Hadlock,21
2434,Tahoe City,20
2435,Elmer,20
2436,American Canyon,20
2437,West Warwick,20
2438,Darby,20
2439,Narberth,20
2440,Castle Shannon,20
2441,Mastic Beach,20
2442,Conley,20
2443,Huntley,20
2444,House Springs,20
2445,Mendota Heights,20
2446,New Stanton,20
2447,Jacinto City,20
2448,Franklin Lakes,20
2449,Camp Pendleton North,20
2450,Lititz,20
2451,Sulphur Springs,20
2452,Manhattan,20
2453,East Palo Alto,20
2454,Rancho Mirage,20
2455,Waconia,20
2456,New Windsor,20
2457,Santa Rosa Beach,20
2458,Markham,20
2459,Glenwood,20
2460,Bogota,20
2461,Springfield Gardens,20
2462,Grosse Pointe Park,20
2463,Eastchester,20
2464,Americus,20
2465,Orem,20
2466,Franklinville,20
2467,Cuyahoga Falls,20
2468,Glen Head,20
2469,Ridgefield Park,20
2470,Mantua Township,20
2471,Laredo,20
2472,Marlow Heights,20
2473,Export,20
2474,Rochelle Park,20
2475,St Michael,20
2476,Boring,20
2477,Hickory Creek,20
2478,Monroe Township,20
2479,South Chicago Heights,19
2480,Wingate,19
2481,Hockley,19
2482,Wauconda,19
2483,Western Springs,19
2484,Ringwood,19
2485,Hopatcong,19
2486,Cannon Falls,19
2487,Lake Hiawatha,19
2488,Purcellville,19
2489,Hollis,19
2490,Mitchellville,19
2491,Cardiff,19
2492,Town and Country,19
2493,Tinton Falls,19
2494,Hewitt,19
2495,Bennett,19
2496,Ione,19
2497,Perry Hall,19
2498,Galena Park,19
2499,Montauk,19
2500,Hercules,19
2501,Millis,19
2502,Keego Harbor,19
2503,Lewiston,19
2504,Anahuac,19
2505,Whitehouse Station,19
2506,Englewood Cliffs,19
2507,New Boston,19
2508,Suisun City,19
2509,Middle Village,19
2510,Oak Grove,19
2511,Parrish,19
2512,LaBelle,19
2513,Branchville,19
2514,Islip Terrace,19
2515,Lake Placid,19
2516,South Barrington,19
2517,Freeburg,19
2518,Kendall Park,19
2519,Frostproof,19
2520,Cos Cob,19
2521,East Bernard,19
2522,North Branford,19
2523,Juno Beach,19
2524,Smithton,19
2525,Capitola,19
2526,North St Paul,18
2527,Amarillo,18
2528,Woodstown,18
2529,Greer,18
2530,Dresher,18
2531,Oakland Gardens,18
2532,Firestone,18
2533,Porter Ranch,18
2534,Florida,18
2535,La Grange Park,18
2536,Brawley,18
2537,South Weymouth,18
2538,Glenn Heights,18
2539,Hilton Head Island,18
2540,El Sobrante,18
2541,Oaks,18
2542,Wilmer,18
2543,Lafayette Hill,18
2544,Lawnside,18
2545,Bay Point,18
2546,Burgettstown,18
2547,Hyannis,18
2548,Venus,18
2549,Branson,18
2550,Rhome,18
2551,Derwood,18
2552,Hubbard,18
2553,Topsham,18
2554,Stallings,18
2555,Atco,18
2556,Grand Terrace,18
2557,Anna,18
2558,Bailey,18
2559,Rockdale,18
2560,Kemp,18
2561,Flatonia,18
2562,Haddon Heights,18
2563,Comfort,18
2564,Millstadt,18
2565,Wheatland,18
2566,Toluca Lake,18
2567,Tappan,18
2568,Haskell,18
2569,Fort Thomas,18
2570,Lynchburg,18
2571,Rex,18
2572,Lathrup Village,18
2573,Sonora,18
2574,Accokeek,18
2575,Braselton,18
2576,Colonial Beach,18
2577,Indianapolis,18
2578,Bentonville,18
2579,Bryans Road,18
2580,Katonah,18
2581,Ponte Vedra Beach,18
2582,Shillington,18
2583,Fanwood,18
2584,Stirling,17
2585,Somers,17
2586,Woodlawn,17
2587,Sour Lake,17
2588,Jarrettsville,17
2589,Laguna Woods,17
2590,Lake Elmo,17
2591,Willis,17
2592,Marcus Hook,17
2593,San Marino,17
2594,Seat Pleasant,17
2595,Greendale,17
2596,Steubenville,17
2597,Woodlyn,17
2598,Cotati,17
2599,Elmendorf,17
2600,Marion,17
2601,Hopewell,17
2602,Sloatsburg,17
2603,Teterboro,17
2604,Turtle Creek,17
2605,Guadalupe,17
2606,Stow,17
2607,Kelso,17
